address,city,zip,beds,bathf,bathp,carg,price,pid,sqft,lotsize,soldat,listedat,schname,schaddr,schgd,schdist,schdstr
3901 Beard Avenue S,Minneapolis,55410,4,1,1,2,565000,pid_20987468/,2285,,,,,,,,
2826 Fillmore Street NE,Minneapolis,55418,3,1,0,2,206000,pid_20819900/,1172,,,,,,,,
4745 Garfield Avenue,Minneapolis,55419,4,2,1,3,492000,pid_20668984/,2142,,,,,,,,
349 Hamline Avenue S,Saint Paul,55105,4,1,1,3,352450,pid_20390360/,2417,,,,,,,,
361 Pleasant Avenue,Saint Paul,55102,3,2,1,4,585000,pid_18239743/,2492,,,,,,,,
2314 11th Avenue S,Minneapolis,55404,4,1,1,2,201000,pid_21462243/,2492,,,,,,,,
415 Thomas Avenue,Saint Paul,55103,2,1,0,3,109900,pid_21278903/,1774,,,,,,,,
2655 Madison Street NE,Minneapolis,55418,3,1,1,3,215000,pid_21199191/,1330,,,,,,,,
5319 40th Avenue S,Minneapolis,55417,2,1,0,2,229900,pid_21177588/,1009,,,,,,,,
3811 Minnehaha Avenue,Minneapolis,55406,3,1,1,3,257500,pid_21161373/,1764,,,,,,,,
4427 Wentworth Avenue S,Minneapolis,55419,3,2,0,2,272100,pid_21156901/,1244,,,,,,,,
2310 23rd Avenue S,Minneapolis,55404,2,1,0,3,215520,pid_21156218/,1050,,,,,,,,
2623 Logan Avenue N,Minneapolis,55411,2,1,0,1,81000,pid_21078477/,864,,,,,,,,
403 Hatch Avenue,Saint Paul,55117,3,1,1,3,200000,pid_21077358/,1233,,,,,,,,
1632 Thomas Avenue,Saint Paul,55104,2,1,0,3,190000,pid_21074021/,872,,,,,,,,
1503 Portland Avenue,Saint Paul,55104,5,1,1,3,385000,pid_21038988/,2025,,,,,,,,
5321 Woodlawn Boulevard,Minneapolis,55417,4,1,1,3,440000,pid_21008670/,2170,,,,,,,,
1723 Field Avenue,Saint Paul,55116,3,1,1,3,283000,pid_21002778/,2115,,,,,,,,
1108 Jessamine Avenue E,Saint Paul,55106,2,1,0,1,80000,pid_20993105/,672,,,,,,,,
1712 Montana Avenue E,Saint Paul,55106,2,1,1,3,198000,pid_20949318/,1596,,,,,,,,
2130 Bryant Avenue N,Minneapolis,55411,4,2,0,3,207000,pid_20922939/,2016,,,,,,,,
322 E 48th Street,Minneapolis,55419,2,1,0,1,240000,pid_20801374/,1124,,,,,,,,
1417 Asbury Street,Saint Paul,55108,3,1,2,3,269900,pid_20794668/,1655,,,,,,,,
914 Queen Avenue N,Minneapolis,55411,3,1,1,3,168500,pid_20697408/,1515,,,,,,,,
2122 Thomas Avenue N,Minneapolis,55411,3,1,0,1,139950,pid_20393229/,1240,,,,,,,,
2178 3rd Street E,Saint Paul,55119,4,1,1,2,215000,pid_20390267/,929,,,,,,,,
1371 Nebraska Avenue W,Saint Paul,55108,5,2,5,1,370000,pid_20183191/,2598,,,,,,,,
1901 Palace Avenue,Saint Paul,55105,5,4,1,4,625000,pid_20178971/,3385,,,,,,,,
919 Desoto Street,Saint Paul,55130,3,1,1,1,130000,pid_20170175/,1185,,,,,,,,
4904 Harriet Avenue,Minneapolis,55419,3,1,1,4,420000,pid_20092047/,2160,,,,,,,,
4620 Ewing Avenue S,Minneapolis,55410,4,1,1,3,545000,pid_20060728/,2172,,,,,,,,
3319 Russell Avenue N,Minneapolis,55412,3,2,2,3,189900,pid_20029924/,1560,,,,,,,,
